Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2018,Share of individuals who use digital equipment at work that telework from home,ESP,Spain,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,ESP,Spain,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
2018,Share of individuals who use digital equipment at work that telework from home,ESP,Spain,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,SVN,Slovenia,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,SVN,Slovenia,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,SVN,Slovenia,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
2018,Share of individuals who use digital equipment at work that telework from home,BEL,Belgium,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,BEL,Belgium,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,BEL,Belgium,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,AUT,Austria,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",13
2018,Share of individuals who use digital equipment at work that telework from home,AUT,Austria,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,AUT,Austria,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",9
2018,Share of individuals who use digital equipment at work that telework from home,GRC,Greece,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",8
2018,Share of individuals who use digital equipment at work that telework from home,GRC,Greece,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
2018,Share of individuals who use digital equipment at work that telework from home,GRC,Greece,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,DEU,Germany,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",13
2018,Share of individuals who use digital equipment at work that telework from home,DEU,Germany,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",9
2018,Share of individuals who use digital equipment at work that telework from home,DEU,Germany,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",9
2018,Share of individuals who use digital equipment at work that telework from home,FRA,France,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",13
2018,Share of individuals who use digital equipment at work that telework from home,FRA,France,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",13
2018,Share of individuals who use digital equipment at work that telework from home,FRA,France,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,FIN,Finland,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",21
2018,Share of individuals who use digital equipment at work that telework from home,FIN,Finland,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,FIN,Finland,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,EST,Estonia,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",18
2018,Share of individuals who use digital equipment at work that telework from home,EST,Estonia,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,EST,Estonia,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,DNK,Denmark,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",30
2018,Share of individuals who use digital equipment at work that telework from home,DNK,Denmark,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
2018,Share of individuals who use digital equipment at work that telework from home,DNK,Denmark,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,SVK,Slovak Republic,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",13
2018,Share of individuals who use digital equipment at work that telework from home,SVK,Slovak Republic,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",13
2018,Share of individuals who use digital equipment at work that telework from home,SVK,Slovak Republic,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",12
2018,Share of individuals who use digital equipment at work that telework from home,PRT,Portugal,Less than once a week,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
