Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2018,Share of individuals who use digital equipment at work that telework from home,ISL,Iceland,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",16
2018,Share of individuals who use digital equipment at work that telework from home,ISL,Iceland,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",22
2018,Share of individuals who use digital equipment at work that telework from home,NOR,Norway,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,NOR,Norway,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",20
2018,Share of individuals who use digital equipment at work that telework from home,NLD,Netherlands,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",11
2018,Share of individuals who use digital equipment at work that telework from home,NLD,Netherlands,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",22
2018,Share of individuals who use digital equipment at work that telework from home,FIN,Finland,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,FIN,Finland,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",15
2018,Share of individuals who use digital equipment at work that telework from home,GBR,United Kingdom,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
2018,Share of individuals who use digital equipment at work that telework from home,GBR,United Kingdom,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",18
2018,Share of individuals who use digital equipment at work that telework from home,GRC,Greece,Every day or almost every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",17
2018,Share of individuals who use digital equipment at work that telework from home,GRC,Greece,At least once a week but not every day,"Share of individuals who, at work, use any type of computers, portable devices, computerised equipment or machinery",14
